run_id,condition,seed,status,val_bpb,train_loss,avg_skel_dist,avg_centerline_dice,avg_cc_diff,is_success,elapsed_s
baseline_seed0,baseline,0,OK,0.4200155985355377,0.5577780601666413,23.268871350357216,0.11999046576280478,0.18875,False,507.58079828700284
baseline_seed1,baseline,1,OK,0.4128996555507183,0.6410834590333295,24.725518997136717,0.10312620004909503,0.04875,True,403.15122124401387
baseline_seed2,baseline,2,OK,0.412911329716444,0.6728791586667378,27.355525238064605,0.09800510990664263,0.048125,True,382.949898314022
decohesion_seed0,decohesion,0,OK,0.41350614562630655,0.6657913605508354,27.75191314162023,0.09215717339072257,0.04125,False,381.0573042019969
decohesion_seed1,decohesion,1,OK,0.4131030513346195,0.6532253439533028,26.41956283010304,0.09979225626385643,0.0425,True,382.37839870201424
decohesion_seed2,decohesion,2,OK,0.412911329716444,0.6728791586667378,27.355525238064605,0.09800510990664263,0.048125,True,382.48544533597305
warping_seed0,warping,0,OK,0.41350614562630655,0.6657913605508354,27.75191314162023,0.09215717339072257,0.04125,False,381.35587832302554
warping_seed1,warping,1,OK,0.4130004881322384,0.6807121628906219,24.287072662657256,0.10146715083981402,0.045,True,381.50807907799026
warping_seed2,warping,2,OK,0.4129129286110401,0.6613578491309356,26.644898642423847,0.09686867733137469,0.0475,True,381.342540808022
squeeze_seed0,squeeze,0,OK,0.4135061992704868,0.674159226609286,27.324407770900336,0.09176727387280097,0.0425,False,380.8468822030118
squeeze_seed1,squeeze,1,OK,0.4130475912988186,0.6747696931111117,25.814673218335827,0.09840207176675245,0.04375,True,381.2508251480176
squeeze_seed2,squeeze,2,OK,0.41290302097797393,0.6582051062195663,23.603319536533434,0.09694050425711188,0.04875,True,381.23167076997925
z_dropout_seed0,z_dropout,0,OK,0.41350614562630655,0.6657913605508354,27.75191314162023,0.09215717339072257,0.04125,False,381.37122036196524
z_dropout_seed1,z_dropout,1,OK,0.4130475912988186,0.6747696931111117,25.814673218335827,0.09840207176675245,0.04375,True,381.0539912470267
z_dropout_seed2,z_dropout,2,OK,0.41290302097797393,0.6582051062195663,23.603319536533434,0.09694050425711188,0.04875,True,381.3550174229895
intensity_drift_seed0,intensity_drift,0,OK,0.4135072097182274,0.6550832045200897,27.277479931519036,0.09337764734872836,0.0425,False,380.22741420101374
intensity_drift_seed1,intensity_drift,1,OK,0.4130729377269745,0.6649849475873083,26.657062596830986,0.0987189304107502,0.045,True,381.9544217539951
intensity_drift_seed2,intensity_drift,2,OK,0.42023314207792284,0.6383028044633811,22.86425690747213,0.09006127983287651,0.268125,False,414.97378325398313
